id,prediction
0,4
1,43
2,6
3,2
4,42
5,1
6,7
7,4
8,5
9,43
10,8
11,28
12,4
13,0
14,17
15,25
16,7
17,9
18,7
19,7
20,1
21,28
22,12
23,24
24,7
25,27
26,7
27,4
28,4
29,28
30,0
31,3
32,39
33,27
34,25
35,6
36,1
37,9
38,32
39,8
40,8
41,22
42,7
43,8
44,7
45,12
46,15
47,2
48,45
49,6
50,10
51,8
52,9
53,34
54,0
55,31
56,19
57,2
58,1
59,4
60,7
61,29
62,10
63,17
64,2
65,8
66,30
67,28
68,10
69,7
70,1
71,0
72,22
73,31
74,4
75,45
76,8
77,1
78,2
79,4
80,3
81,28
82,4
83,2
84,19
85,2
86,1
87,19
88,11
89,45
90,25
91,8
92,36
93,30
94,1
95,4
96,46
97,5
98,1
99,3
100,3
101,18
102,9
103,9
104,6
105,44
106,19
107,15
108,8
109,1
110,5
111,6
112,5
113,31
114,30
115,3
116,46
117,8
118,4
119,45
120,5
121,7
122,18
123,27
124,6
125,17
126,4
127,28
128,14
129,36
130,25
131,40
132,0
133,2
134,6
135,21
136,4
137,9
138,24
139,0
140,2
141,24
142,1
143,43
144,28
145,7
146,0
147,9
148,1
149,36
150,32
151,6
152,6
153,2
154,31
155,46
156,9
157,34
158,34
159,28
160,9
161,18
162,3
163,38
164,9
165,3
166,8
167,6
168,42
169,25
170,14
171,43
172,24
173,28
174,6
175,46
176,1
177,7
178,0
179,6
180,9
181,46
182,20
183,1
184,6
185,38
186,3
187,24
188,9
189,30
190,45
191,36
192,1
193,38
194,7
195,1
196,18
197,31
198,0
199,28
200,12
201,32
202,6
203,19
204,2
205,12
206,32
207,39
208,46
209,6
210,26
211,38
212,8
213,45
214,3
215,7
216,0
217,2
218,28
219,3
220,39
221,5
222,7
223,16
224,29
225,7
226,28
227,6
228,9
229,30
230,42
231,2
232,10
233,3
234,42
235,17
236,4
237,22
238,0
239,8
240,1
241,22
242,4
243,2
244,1
245,30
246,2
247,3
248,24
249,28
250,34
251,20
252,12
253,32
254,27
255,23
256,6
257,38
258,38
259,22
260,3
261,43
262,8
263,9
264,0
265,44
266,0
267,21
268,2
269,0
270,12
271,3
272,28
273,36
274,3
275,5
276,29
277,8
278,1
279,1
280,9
281,8
282,18
283,46
284,36
285,24
286,28
287,30
288,39
289,3
290,8
291,26
292,20
293,1
294,29
295,2
296,25
297,4
298,4
299,1
300,28
301,2
302,0
303,29
304,35
305,7
306,5
307,3
308,30
309,30
310,2
311,39
312,4
313,0
314,2
315,8
316,19
317,2
318,2
319,1
320,12
321,18
322,4
323,28
324,5
325,4
326,2
327,9
328,0
329,7
330,9
331,18
332,42
333,1
334,13
335,1
336,3
337,38
338,6
339,3
340,3
341,0
342,21
343,1
344,46
345,7
346,18
347,39
348,43
349,6
350,7
351,43
352,38
353,45
354,2
355,5
356,5
357,2
358,4
359,30
360,39
361,9
362,46
363,9
364,7
365,36
366,21
367,39
368,45
369,23
370,28
371,39
372,6
373,36
374,8
375,2
376,6
377,2
378,4
379,8
380,4
381,28
382,46
383,28
384,7
385,6
386,4
387,9
388,1
389,7
390,43
391,4
392,18
393,7
394,39
395,1
396,12
397,6
398,8
399,30
400,5
401,2
402,2
403,36
404,6
405,39
406,6
407,20
408,12
409,3
410,43
411,21
412,18
413,28
414,46
415,4
416,3
417,9
418,30
419,35
420,2
421,8
422,15
423,4
424,4
425,2
426,5
427,18
428,5
429,30
430,39
431,8
432,36
433,1
434,6
435,15
436,7
437,0
438,8
439,1
440,12
441,46
442,3
443,1
444,8
445,6
446,39
447,39
448,9
449,21
450,39
451,2
452,0
453,8
454,7
455,7
456,21
457,28
458,6
459,30
460,18
461,4
462,2
463,0
464,3
465,4
466,3
467,36
468,9
469,34
470,37
471,8
472,8
473,2
474,24
475,0
476,7
477,14
478,37
479,28
480,5
481,13
482,0
483,22
484,9
485,7
486,36
487,1
488,18
489,30
490,3
491,28
492,2
493,30
494,22
495,5
496,7
497,2
498,8
499,0
500,39
501,25
502,0
503,28
504,12
505,42
506,41
507,28
508,3
509,24
510,7
511,2
512,31
513,0
514,0
515,45
516,2
517,2
518,9
519,6
520,0
521,25
522,0
523,33
524,39
525,3
526,0
527,7
528,7
529,9
530,30
531,12
532,9
533,3
534,9
535,28
536,1
537,37
538,6
539,6
540,7
541,11
542,6
543,0
544,39
545,4
546,0
547,39
548,43
549,3
550,29
551,2
552,8
553,36
554,46
555,39
556,5
557,8
558,6
559,30
560,8
561,25
562,23
563,1
564,43
565,39
566,3
567,37
568,9
569,1
570,28
571,43
572,43
573,8
574,2
575,8
576,44
577,3
578,31
579,21
580,34
581,5
582,30
583,0
584,3
585,1
586,6
587,22
588,12
589,24
590,1
591,36
592,13
593,29
594,15
595,46
596,14
597,8
598,0
599,36
600,41
601,3
602,24
603,29
604,34
605,7
606,2
607,8
608,2
609,4
610,30
611,43
612,1
613,3
614,22
615,23
616,29
617,0
618,12
619,3
620,46
621,46
622,45
623,9
624,7
625,14
626,9
627,1
628,1
629,16
630,2
631,25
632,5
633,2
634,6
635,3
636,4
637,4
638,36
639,23
640,1
641,2
642,1
643,43
644,45
645,5
646,28
647,45
648,5
649,15
650,39
651,0
652,25
653,21
654,7
655,13
656,16
657,1
658,9
659,22
660,3
661,18
662,24
663,9
664,9
665,24
666,8
667,5
668,3
669,42
670,8
671,5
672,6
673,9
674,9
675,6
676,23
677,3
678,5
679,10
680,43
681,6
682,34
683,8
684,23
685,0
686,4
687,7
688,17
689,2
690,39
691,5
692,45
693,26
694,7
695,10
696,4
697,36
698,7
699,7
700,42
701,42
702,39
703,0
704,1
705,3
706,5
707,4
708,42
709,29
710,43
711,28
712,23
713,4
714,30
715,24
716,6
717,4
718,8
719,10
720,1
721,1
722,9
723,28
724,26
725,7
726,39
727,25
728,21
729,1
730,7
731,1
732,42
733,34
734,28
735,8
736,0
737,27
738,0
739,45
740,19
741,4
742,7
743,8
744,27
745,4
746,23
747,6
748,1
749,2
750,5
751,1
752,1
753,46
754,37
755,2
756,36
757,39
758,18
759,32
760,12
761,25
762,14
763,43
764,7
765,3
766,17
767,3
768,12
769,31
770,0
771,1
772,23
773,1
774,5
775,28
776,1
777,4
778,1
779,39
780,7
781,1
782,7
783,0
784,39
785,34
786,28
787,30
788,9
789,0
790,3
791,19
792,33
793,7
794,38
795,28
796,32
797,4
798,36
799,4
800,38
801,43
802,42
803,1
804,45
805,8
806,25
807,4
808,29
809,7
810,45
811,15
812,5
813,28
814,2
815,5
816,6
817,0
818,39
819,2
820,0
821,45
822,7
823,43
824,38
825,0
826,0
827,9
828,1
829,2
830,36
831,24
832,0
833,12
834,36
835,0
836,4
837,1
838,45
839,2
840,4
841,5
842,24
843,24
844,0
845,5
846,28
847,1
848,3
849,0
850,39
851,29
852,21
853,15
